what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1456750319368
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1456750319372
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1456750319372
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1456750319374
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1456750319378
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1456750319390
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1456750319395
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1456750319400
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1456750319405
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1456750319410
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1456750319415
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1456750319418
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1456750319421
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1456750319423
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1456750319427
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1456750319432
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1456750319439
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1456750319443
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1456750319443
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1456750319446
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1456750319449
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1456750319453
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1456750319457
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1456750319461
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1456750319464
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1456750319467
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1456750319470
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1456750319475
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1456750319477
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1456750319481
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1456750319485
started,bundle,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse",1456750319492
os,sysinfo,,,"win32",1456750319525
arch,sysinfo,,,"x86_64",1456750319525
ws,sysinfo,,,"win32",1456750319525
locale,sysinfo,,,"en_US",1456750319525
processors,sysinfo,,,"4",1456750319525
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1456750319526
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1456750319526
java.specification.name,sysinfo,,,"Java Platform API Specification",1456750319526
java.specification.vendor,sysinfo,,,"Oracle Corporation",1456750319526
java.specification.version,sysinfo,,,"1.7",1456750319526
java.vendor,sysinfo,,,"Oracle Corporation",1456750319526
java.version,sysinfo,,,"1.7.0_79",1456750319526
java.vm.info,sysinfo,,,"mixed mode",1456750319526
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1456750319526
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1456750319526
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1456750319526
java.vm.specification.version,sysinfo,,,"1.7",1456750319526
java.vm.vendor,sysinfo,,,"Oracle Corporation",1456750319526
java.vm.version,sysinfo,,,"24.79-b02",1456750319526
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1456750319665
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456750319990
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1456750320833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750325341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750332506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750336160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750344680
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456750345618
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456750345739
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456750349678
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456750351018
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1456750357317
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1456750357356
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1456750357381
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1456750357401
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1456750357586
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1456750357599
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1456750357608
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1456750357665
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1456750357677
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1456750357763
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1456750357766
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1456750358716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456750359122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750360578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750360763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750379643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750381858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456750382957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1456750384866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750387138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750393481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456750396035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750401028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750401216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750404502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750404703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750408641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750408805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750422162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750424435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750425878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750438949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456750441918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750455957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750456151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456750467068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456750472415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456750476243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456750484552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456750491215
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1456750492573
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1456750493274
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1456750493467
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1456750493493
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1456750494187
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1456750494314
opened,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456750495846
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456750497539
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456750497644
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456750500865
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456750501080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750521382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750528806
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456750530366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456750535019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750537119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750537315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750556354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750643156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750643840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750651569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750653077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750661717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750662599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750757492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456750758471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751019142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751027809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751074473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456751075894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751085323
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1456751085778
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1456751085809
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1456751086016
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1456751086044
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1456751086100
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1456751086121
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1456751086128
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1456751086291
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1456751086310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751096133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751106038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751134992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751140097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751140276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751152418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751179527
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456751218397
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456751229588
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456751229709
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456751231519
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456751233995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456751234112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1456751246194
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456751250103
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456751250318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456751255733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456751262583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1456751265101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456751267430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751274523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751274622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751277614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751294387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751294592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751329164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751329327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456751331461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456751331632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456751331814
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456751340816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456751341071
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1456751358464
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1456751360273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456751364569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1456751374715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456751377029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751384809
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1456751412353
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456751412604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751423724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751423898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751449731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751449913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751462354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751477081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751481807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751509143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751527568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456751557092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751560402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456751560540
